step,label,event_name,users_raw,users_strict,strict_minus_raw,share_of_s0_numerator,share_of_s0_denominator,share_of_s0_pct_value,share_of_s0_pct_display,share_of_s0_lo_display,share_of_s0_hi_display,share_of_s0_status,step_conversion_numerator,step_conversion_denominator,step_conversion_pct_value,step_conversion_pct_display,step_conversion_lo_display,step_conversion_hi_display,step_conversion_status,note
S0,Present in the window,(any event),15175,15175,0,15175,15175,100.0000000000,100.00,99.97,100.00,reported,,,,NULL,NULL,NULL,not_applicable,"S0 has no predecessor, so its step-to-step cell is an explicit null rather than a meaningless 100%"
S1,Started a level,level_start_quickplay,10166,10166,0,10166,15175,66.9917627677,66.99,66.24,67.74,reported,10166,15175,66.9917627677,66.99,66.24,67.74,reported,strict: users holding all of S0..S1
S2,Finished a level attempt,level_end_quickplay,8168,8145,-23,8145,15175,53.6738056013,53.67,52.88,54.47,reported,8145,10166,80.1200078694,80.12,79.33,80.88,reported,strict: users holding all of S0..S2
S3,Completed a level,level_complete_quickplay,5676,5672,-4,5672,15175,37.3772652389,37.38,36.61,38.15,reported,5672,8145,69.6378146102,69.64,68.63,70.63,reported,strict: users holding all of S0..S3
