arm,variant,n,n_display,mean,mean_display,median,median_display,std,min,max,max_display,winsorised_mean,winsorised_mean_display
gate_30,with_extreme,44700,"44,700",52.4562639821,52.46,17,17.00,256.716423116,0,49854,"49,854",49.1358389262,49.14
gate_30,without_extreme,44699,"44,699",51.3421105618,51.34,17,17.00,102.057597892,0,2961,"2,961",49.125908857,49.13
gate_40,with_extreme,45489,"45,489",51.2987755281,51.30,16,16.00,103.294416217,0,2640,"2,640",48.8539207281,48.85
gate_40,without_extreme,45489,"45,489",51.2987755281,51.30,16,16.00,103.294416217,0,2640,"2,640",48.8539207281,48.85
both,with_extreme,90189,"90,189",51.8724567298,51.87,16,16.00,195.050857542,0,49854,"49,854",48.9936466753,48.99
both,without_extreme,90188,"90,188",51.3202532488,51.32,16,16.00,102.682719178,0,2961,"2,961",48.9887235552,48.99
