cohort,cohort_start,cohort_end,horizon_days,installs,denominator,retained,rate_pct_value,rate_pct_display,wilson_lo_pct_value,wilson_lo_pct_display,wilson_hi_pct_value,wilson_hi_pct_display,wilson_half_width_pp_display,status,cohorts_included,note
POOLED,20180612,20181001,1,4191,4191,911,21.7370555953,21.74,20.5145135879,20.51,23.0113616268,23.01,1.25,reported,16,"classic retention, §10.5.3 primary — event on install day + N exactly; pooled over the 16 cohorts eligible at D1, the per-cohort reading directed in A-134"
POOLED,20180612,20180924,7,3913,3913,222,5.6733963711,5.67,4.9910994300,4.99,6.4426403199,6.44,0.73,reported,15,"classic retention, §10.5.3 primary — event on install day + N exactly; pooled over the 15 cohorts eligible at D7, the per-cohort reading directed in A-134"
POOLED,20180612,20180903,30,2963,2963,62,2.0924738441,2.09,1.6357447413,1.64,2.6732640344,2.67,0.52,reported,12,"classic retention, §10.5.3 primary — event on install day + N exactly; pooled over the 12 cohorts eligible at D30, the per-cohort reading directed in A-134"
