cohort,cohort_start,cohort_end,horizon_days,installs,denominator,retained,rate_pct_value,rate_pct_display,wilson_lo_pct_value,wilson_lo_pct_display,wilson_hi_pct_value,wilson_hi_pct_display,wilson_half_width_pp_display,status,cohorts_included,note
POOLED,20180612,20181001,1,4191,4191,1970,47.0054879504,47.01,45.4978691993,45.50,48.5185911970,48.52,1.51,reported,16,"rolling retention, §10.5.3 secondary — event on or after install day + N; pooled over the 16 cohorts eligible at D1, the per-cohort reading directed in A-134"
POOLED,20180612,20180924,7,3913,3913,1136,29.0314336826,29.03,27.6303483447,27.63,30.4736490406,30.47,1.42,reported,15,"rolling retention, §10.5.3 secondary — event on or after install day + N; pooled over the 15 cohorts eligible at D7, the per-cohort reading directed in A-134"
POOLED,20180612,20180903,30,2963,2963,449,15.1535605805,15.15,13.9076374221,13.91,16.4897219022,16.49,1.29,reported,12,"rolling retention, §10.5.3 secondary — event on or after install day + N; pooled over the 12 cohorts eligible at D30, the per-cohort reading directed in A-134"
