cohort,cohort_start,cohort_end,horizon_days,installs,denominator,retained,rate_pct_value,rate_pct_display,wilson_lo_pct_value,wilson_lo_pct_display,wilson_hi_pct_value,wilson_hi_pct_display,wilson_half_width_pp_display,status,window_days_remaining_min,window_days_remaining_max,note
W12,20180828,20180903,1,305,305,114,37.3770491803,37.38,32.1360512289,32.14,42.9320629116,42.93,5.40,reported,30,36,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W12,20180828,20180903,7,305,305,69,22.6229508197,22.62,18.2848909544,18.28,27.6420578957,27.64,4.68,reported,24,30,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W12,20180828,20180903,30,305,305,18,5.9016393443,5.90,3.7653248428,3.77,9.1349700117,9.13,2.68,reported,1,7,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W13,20180904,20180910,1,384,384,141,36.7187500000,36.72,32.0511322873,32.05,41.6494616848,41.65,4.80,reported,23,29,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W13,20180904,20180910,7,384,384,81,21.0937500000,21.09,17.3097187116,17.31,25.4503975805,25.45,4.07,reported,17,23,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W13,20180904,20180910,30,384,,,,NULL,,NULL,,NULL,NULL,ineligible_window,-6,0,cohort's last install day + N falls outside the window ending 20181003 (§10.5.5)
W14,20180911,20180917,1,300,300,102,34.0000000000,34.00,28.8720204096,28.87,39.5325546695,39.53,5.33,reported,16,22,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W14,20180911,20180917,7,300,300,56,18.6666666667,18.67,14.6637482133,14.66,23.4618779835,23.46,4.40,reported,10,16,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W14,20180911,20180917,30,300,,,,NULL,,NULL,,NULL,NULL,ineligible_window,-13,-7,cohort's last install day + N falls outside the window ending 20181003 (§10.5.5)
W15,20180918,20180924,1,266,266,97,36.4661654135,36.47,30.9125686571,30.91,42.4050970883,42.41,5.75,reported,9,15,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W15,20180918,20180924,7,266,266,25,9.3984962406,9.40,6.4471527506,6.45,13.5058444857,13.51,3.53,reported,3,9,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W15,20180918,20180924,30,266,,,,NULL,,NULL,,NULL,NULL,ineligible_window,-20,-14,cohort's last install day + N falls outside the window ending 20181003 (§10.5.5)
W16,20180925,20181001,1,278,278,83,29.8561151079,29.86,24.7809673288,24.78,35.4803794338,35.48,5.35,reported,2,8,"rolling retention, §10.5.3 secondary — event on or after install day + N"
W16,20180925,20181001,7,278,,,,NULL,,NULL,,NULL,NULL,ineligible_window,-4,2,cohort's last install day + N falls outside the window ending 20181003 (§10.5.5)
W16,20180925,20181001,30,278,,,,NULL,,NULL,,NULL,NULL,ineligible_window,-27,-21,cohort's last install day + N falls outside the window ending 20181003 (§10.5.5)
