seq,query_file,job_id,job_date_utc,shard_range,dry_run_estimate_bytes,bytes_processed,bytes_billed,divergence_bytes,divergence_ratio,running_total_billed_bytes,remaining_total_bytes,predicted_billed_bytes,prediction_delta_bytes,remaining_both_sessions_bytes,note
1,"sql/30_part2_population_and_vocabulary.sql",part2_part2_q30_population_and_vocabulary_20260920T042029Z_41462,2026-09-20T04:20:35Z,"20180612-20181003 (114 shards)",332489198,332489198,333447168,957970,1.0029,333447168,21141389312,333447168,0,38011928576,""
2,"sql/31_part2_progression_matrix_and_funnel.sql",part2_part2_q31_progression_matrix_and_funnel_20260920T042047Z_41670,2026-09-20T04:20:53Z,"20180612-20181003 (114 shards)",332489198,332489198,333447168,957970,1.0029,666894336,20807942144,333447168,0,37678481408,""
3,"sql/32_part2_segment_constancy.sql",part2_part2_q32_segment_constancy_20260920T042123Z_41923,2026-09-20T04:21:29Z,"20180612-20181003 (114 shards)",571173619,571173619,571473920,300301,1.0005,1238368256,20236468224,571473920,0,37107007488,""
4,"sql/33_part2_funnel_by_segment.sql",part2_part2_q33_funnel_by_segment_20260920T042141Z_42124,2026-09-20T04:21:46Z,"20180612-20181003 (114 shards)",571173619,571173619,571473920,300301,1.0005,1809842176,19664994304,571473920,0,36535533568,""
