seq,query_file,job_id,job_date_utc,shard_range,dry_run_estimate_bytes,bytes_processed,bytes_billed,divergence_bytes,divergence_ratio,running_total_billed_bytes,remaining_total_bytes,predicted_billed_bytes,prediction_delta_bytes,remaining_both_sessions_bytes,note
1,"sql/10_part1_population_and_duplicates.sql",part1_part1_q10_population_and_duplicates_20260917T042538Z_62946,2026-09-17T04:25:44Z,"20180612-20181003 (114 shards)",389489198,389489198,390070272,581074,1.0015,390070272,21084766208,390070272,0,42559602688,""
2,"sql/11_part1_day_key_offset.sql",part1_part1_q11_day_key_offset_20260917T042556Z_63129,2026-09-17T04:26:02Z,"20180612-20181003 (114 shards)",102600000,102600000,102760448,160448,1.0016,492830720,20982005760,102760448,0,42456842240,""
3,"sql/12_part1_cohort_inventory.sql",part1_part1_q12_cohort_inventory_20260917T042616Z_63312,2026-09-17T04:26:22Z,"20180612-20181003 (114 shards)",389489198,389489198,390070272,581074,1.0015,882900992,20591935488,390070272,0,42066771968,""
4,"sql/13_part1_classic_retention.sql",part1_part1_q13_classic_retention_20260917T042630Z_63493,2026-09-17T04:26:38Z,"20180612-20181003 (114 shards)",389489198,389489198,390070272,581074,1.0015,1272971264,20201865216,390070272,0,41676701696,""
5,"sql/14_part1_rolling_retention.sql",part1_part1_q14_rolling_retention_20260917T042649Z_63683,2026-09-17T04:26:54Z,"20180612-20181003 (114 shards)",389489198,389489198,390070272,581074,1.0015,1663041536,19811794944,390070272,0,41286631424,""
6,"sql/15_part1_segment_constancy.sql",part1_part1_q15_segment_constancy_20260917T042703Z_63862,2026-09-17T04:27:09Z,"20180612-20181003 (114 shards)",445092197,445092197,445644800,552603,1.0012,2108686336,19366150144,445644800,0,40840986624,""
7,"sql/16_part1_retention_by_segment.sql",part1_part1_q16_retention_by_segment_20260917T042720Z_64046,2026-09-17T04:27:26Z,"20180612-20181003 (114 shards)",628173619,628173619,629145600,971981,1.0015,2737831936,18737004544,629145600,0,40211841024,""
8,"sql/17_part1_first_open_time_agreement.sql",part1_part1_q17_first_open_time_agreement_20260917T042739Z_64240,2026-09-17T04:27:45Z,"20180612-20181003 (114 shards)",932965449,932965449,933232640,267191,1.0003,3671064576,17803771904,933232640,0,39278608384,""
9,"sql/18_part1_first_open_time_sensitivity.sql",part1_part1_q18_first_open_time_sensitivity_20260917T042921Z_64576,2026-09-17T04:29:27Z,"20180612-20181003 (114 shards)",932965449,932965449,933232640,267191,1.0003,4604297216,16870539264,933232640,0,38345375744,""
