quantity,value,value_display,unit,note
baseline_control_rate_pp,19.0201342282,19.02,pp,"OBSERVED control-arm D7 rate, not an assumed figure (§3)."
n_control,44700,"44,700",count,"Observed, not the nominal 1:1."
n_variant,45489,"45,489",count,"Observed, not the nominal 1:1."
alpha,0.05,0.050000,proportion,Two-sided (§1.3).
power_at_1pp,0.966261025053,0.966261,proportion,Power to detect a 1.00 pp absolute difference at observed n and baseline.
detectable_at_80_power_pp,0.737654410994,0.74,pp,Smallest absolute difference detectable at 80% power.
detectable_at_95_power_pp,0.951087930567,0.95,pp,Smallest absolute difference detectable at 95% power.
action_threshold_pp,1,1.00,pp,"§1.4, A-005."
comparison_sentence,"The smallest effect detectable at 80% power is 0.74 pp, which is smaller than the 1.00 pp action threshold: this sample can detect effects smaller than the one we would act on.","The smallest effect detectable at 80% power is 0.74 pp, which is smaller than the 1.00 pp action threshold: this sample can detect effects smaller than the one we would act on.",text,Required by §3. Reported only; it feeds no decision branch (A-062).
